X,Y,OBJECTID,MODULENAME,CASENUMBER,PROJECTNAME,SPATIALTYPE,APPLY_DATE,COMPLETE_DATE,EXPIRE_DATE,STATUS,DESCRIPTION,CASENAME,WORKCLASS_NAME,AFFORDABLE_HOUSING
-118.1591423,34.01278218,27,PlanManagement,RPPL2016000402,,Address,2016/01/04 00:00:00+00,2016/01/20 00:00:00+00,,Completed,Consistent per RPP200800668,Referrals & Letters,DMV Referral,
-118.2680079,33.91475544,28,PlanManagement,RPPL2016000409,,Address,2016/01/04 00:00:00+00,2016/01/08 00:00:00+00,,Approved,"Bathroom & Bedroom Addition & 2 car garageProject No: RPPL 2016000409		Approved by William ChenApproval Date: 02/01/2016EXPIRES: 02/01/2018Address:   345 E. 130th Street, Los Angeles, CA 90061	APN: 6130-008-042	Zone: R-1	CSD: West Rancho Dominguez-VictoriaCountywide Land Use Policy:	H9 每 Residential (9 du/acre)Fire Hazard Area:	NoRural Outdoor Lighting District:	NoThis Zoning Conformance Review approves the following for the above referenced project:?	RPPL2016000409 approves the addition of 234 square feet to the rear of an existing single family residence and a new detached 434 square feet 2-car garage.Special Notes:?	The driveway must be paved. ?	Each required parking space must have the dimensions 8.5＊ in width and 18＊ in length.   ?	Each parking space must have a backup area of 26＊ to the opposite side of the alley. ?	No plumbing for a washer, dryer, and/or utility sink is permitted within the garage or storage room area unless approval is obtained to remove the partition wall is to create an open floor area.?	Garage is not approved for habitable use.?	The residence may contain only one kitchen and be used for occupancy by one family for living, sleeping, cooking, eating, and sanitation. ?	All rooms within the single family residence must have internal access and be accessible within the residence.?	Approvals from other County agencies may be needed before the issuance of a Building Permit.  ?	No oaks trees are indicated to be present on the property.  This approval does not grant any impact on oak trees.  ?	No grading is proposed for this project. This approval does not authorize grading.?	This is not a building permit.?	This project must comply with the Green Building Program to the satisfaction of the Department of Public Works.This approval is found to be in substantial compliance with the Los Angeles County Title 22 code requirements.   Changes to this approval require additional DRP review and fees. Obtain any necessary approvals from Los Angeles County Department of Public Works. Approvals from other County Departments may be needed prior to the issuance of a Building Permit.",Referrals & Letters,Zoning Conformance Review,
-118.1403162,34.47623507,29,PlanManagement,RPPL2016000403,R2012-00228,Address,2016/01/04 00:00:00+00,2016/04/11 00:00:00+00,2027/08/21 00:00:00+00,Approved,"T-mobile is proposing to modify an existing wireless telecomunication facility.  The proposed scope of work consists of: installing a new 7500 kW generator with new concrete pad, install 120 gallon propane tank with new concrete pad, and trenching for gas line.",Permits & Reviews,Revised Exhibit "A",
-118.1498616,34.18980353,30,PlanManagement,RPPL2016000415,,Address,2016/01/05 00:00:00+00,2016/03/03 00:00:00+00,,Approved,"C-3 Zone plot plan to establish (e) 7,044 sf church - assembly space. Propsed occ load 205, pk proposed 41 spaces height 14'9"" Altadena CSD.  ",Permits & Reviews,Site Plan Review - Ministerial,
-118.1716725,34.02365358,31,PlanManagement,RPPL2016000447,,Address,2016/01/07 00:00:00+00,2016/02/08 00:00:00+00,,Approved,"TENANT IMPROVEMENT ADDING DEMURRING WALL TO CREATE TWO UNITS.!DO NOT REMOVE!RPPL 20160004474467- 4471 East Whittier Boulevard, East Los Angeles, 90022 (APN 5247-001-020)?	Site Plan approved for interior tenant improvement consisting of adding a new dividing wall within the existing commercial building as depicted on the Plans. No enlargement of existing building footprint is proposed.?	The subject property is located in the East Los Angeles Community Standards District (※East LA CSD§).?	The existing commercial building is legally non-conforming due to parking and landscaping. ?	The proposed tenant improvement is consistent with approved PP 40186 approved on July 16, 1990.?	The subject property is located within the C-3 (General Commercial) zone.   ?	This Site Plan approval is only for retail/professional office use. No dining/take-out food establishment shall be permitted. Any eating establishment use will be required to meet current parking requirements.?	No oak trees are depicted on the plans and no encroachments or removals are authorized.?	The accuracy of the property lines is the responsibility of the owner/applicant.?	No grading is proposed in conjunction with this project. This approval does not authorize any grading.?	No new signage is proposed with this project and none are approved. New signage will require a separate submittal and fees.?	This project shall comply with all requirements of the Green Building and Low-Impact Development (LID) ordinance to the satisfaction of the Los Angeles County Department of Public Works (※Public Works§).?	Changes to this approval shall require additional Los Angeles County Department of Regional Planning review and fees, and may be subject to additional requirements of the Green Building Program.?	Obtain all required permits and approvals from Public Works prior to installation or construction.EXPIRES 02/09/18                                                                           !DO NOT REMOVE!",Referrals & Letters,Zoning Conformance Review,
-118.1717248,34.02366608,32,PlanManagement,RPPL2016000447,,Address,2016/01/07 00:00:00+00,2016/02/08 00:00:00+00,,Approved,"TENANT IMPROVEMENT ADDING DEMURRING WALL TO CREATE TWO UNITS.!DO NOT REMOVE!RPPL 20160004474467- 4471 East Whittier Boulevard, East Los Angeles, 90022 (APN 5247-001-020)?	Site Plan approved for interior tenant improvement consisting of adding a new dividing wall within the existing commercial building as depicted on the Plans. No enlargement of existing building footprint is proposed.?	The subject property is located in the East Los Angeles Community Standards District (※East LA CSD§).?	The existing commercial building is legally non-conforming due to parking and landscaping. ?	The proposed tenant improvement is consistent with approved PP 40186 approved on July 16, 1990.?	The subject property is located within the C-3 (General Commercial) zone.   ?	This Site Plan approval is only for retail/professional office use. No dining/take-out food establishment shall be permitted. Any eating establishment use will be required to meet current parking requirements.?	No oak trees are depicted on the plans and no encroachments or removals are authorized.?	The accuracy of the property lines is the responsibility of the owner/applicant.?	No grading is proposed in conjunction with this project. This approval does not authorize any grading.?	No new signage is proposed with this project and none are approved. New signage will require a separate submittal and fees.?	This project shall comply with all requirements of the Green Building and Low-Impact Development (LID) ordinance to the satisfaction of the Los Angeles County Department of Public Works (※Public Works§).?	Changes to this approval shall require additional Los Angeles County Department of Regional Planning review and fees, and may be subject to additional requirements of the Green Building Program.?	Obtain all required permits and approvals from Public Works prior to installation or construction.EXPIRES 02/09/18                                                                           !DO NOT REMOVE!",Referrals & Letters,Zoning Conformance Review,
-118.2132234,33.8516698,39,PlanManagement,RPPL2016000497,,Address,2016/01/12 00:00:00+00,2016/01/20 00:00:00+00,,Completed,,Referrals & Letters,Zoning Verification Letter,
-117.9908605,34.04223522,41,PlanManagement,RPPL2016000569,,Address,2016/01/20 00:00:00+00,2016/03/30 00:00:00+00,,Approved,"?	Plans approved for the following:?	1). A 290 sq. ft. attached patio cover. ?	2). A 120 sq. ft detached storage shed.?	3). A 100 sq. ft. detached storage shed.?	4). Demolish existing unpermitted carport. ?	A minimum 20＊-0§ front yard setback, 5＊-0§ side yard setback, and 25＊-0§ rear yard setback will be maintained for the single family residence. ?	Proposed addition shall comply with the development standards of the Avocado Heights Community Standards District.?	Maintain elevations as shown.?	The maximum floor area or lot coverage shall not exceed 3,242.5 sq. ft. Lot coverage shown is 2,883 sq. ft. ?	Proposed storage units shall not contain plumbing or windows. ?	There shall be a minimum 6ft. separation between structures.?	Fifty (50%) of the Front Yard shall be landscaped.?	The existing carport shall be conveniently accessible and permanently maintained exclusively for the parking of vehicles.?	The single family residence must maintain 2 covered parking spaces.?	Each parking space must be a minimum 8.5 feet in width by 18 feet in length, and must have at least 26 feet vehicular backup space.?	A minimum 10 feet paved driveway must be maintained for access to required parking.?	The maximum fence/wall height within the required front yard setback is 3 feet 6 inches, and within the side and rear yard setbacks is 6 feet.  ?	This project must comply with the Green Building ordinance to the satisfaction of the Department of Public Works.?	No oak trees shown on plans. ?	No wall/fences shown on plans.?	Changes to this approval require additional DRP review and fees, and may be subject to the Green Building Program.?	Obtain building permits from the Department of Public Works, Building and Safety Division.",Referrals & Letters,Zoning Conformance Review,
-118.2341747,33.85572136,42,PlanManagement,RPPL2016000566,,Address,2016/01/19 00:00:00+00,2016/02/18 00:00:00+00,,Approved,"WTF-Remove and replace 3 antennas, install 3 RRUs and combiners, install 1 DUS41 inside equipment cabinet, install 1 new surge protection dome, install new fiber/power conduit.",Permits & Reviews,Revised Exhibit "A",
-118.7540634,34.1055023,45,PlanManagement,RPPL2016000611,,Address,2016/01/21 00:00:00+00,2019/01/01 00:00:00+00,,Void,Duplicate CUP - phases of a sewer main project was combined into one project. CUP for grading and Oak Tree Permit for 3 removals and 1 encroachment,Permits & Reviews,Oak Tree Permit - Discretionary,
