LURN_SAK,Incident Date,Incident Reported Date,Category,Stat Code,Stat Code Desc,Address,Street,City,Zip,Incident ID,Reporting District,Sequential (per Station),Gang Related,Unit ID,Unit Name,Longitude,Latitude,Part Category,OBJECTID,x,y
20193262,4/3/2023 2:30:00 AM,4/3/2023 12:00:00 AM,LARCENY THEFT,85,GRAND THEFT: Auto Parts And Accessories,"2900 FRANKLIN ST, LA CRESCENTA, CA 91214",2900 FRANKLIN ST,LA CRESCENTA,91214,923-00579-1286,1286,579,NO,CA0190012,CRESCENTA VALLEY,-118.2420952,34.22800491,1,8087,-13162649.83,4059458.758
20182421,3/21/2023 12:49:00 AM,3/21/2023 12:00:00 AM,DRUNK DRIVING VEHICLE / BOAT,242,DRUNK DRIVING - VEHICLE/BOAT: Alc/Drugs,"NOGALES ST AND WALNUT DR, ROWLAND HEIGHTS, CA",NOGALES ST AND WALNUT DR,ROWLAND HEIGHTS,,923-02106-2934,2934,2106,NO,CA0190020,WALNUT,-117.8879508,33.99625245,2,8088,-13123226.65,4028298.833
20139514,1/27/2023 11:35:00 AM,1/28/2023 12:00:00 AM,LARCENY THEFT,83,"GRAND THEFT: Shoplifting (From Dept Store, Mkt Gas Sta)","15200 ROSECRANS AVE, LA MIRADA, CA",15200 ROSECRANS AVE,LA MIRADA,,923-01168-0470,470,1168,NO,CA0190004,NORWALK,-118.0060239,33.89811276,1,8089,-13136370.49,4015129.251
20130540,1/17/2023 3:52:00 PM,1/17/2023 12:00:00 AM,WEAPON LAWS,151,WEAPON LAWS: Felony,"BLOOMFIELD AVE AND CENTRALIA ST, LAKEWOOD, CA 90715",BLOOMFIELD AVE AND CENTRALIA ST,LAKEWOOD,90715,023-01104-1328,1328,1104,YES,CA0190013,LAKEWOOD,-118.0630021,33.83828584,2,8090,-13142713.28,4007108.38
20149194,2/4/2023 11:00:00 AM,2/8/2023 12:00:00 AM,GRAND THEFT AUTO,91,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,"17800 MOSSDALE AVE, LAKE LOS ANGELES, CA",17800 MOSSDALE AVE,LAKE LOS ANGELES,,923-02312-1197,1197,2312,NO,CA0190024,LANCASTER,-117.8109786,34.63000725,1,8091,-13114658.14,4113713.594
20149765,2/8/2023 8:48:23 PM,2/8/2023 12:00:00 AM,LARCENY THEFT,89,"GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","1800 E FERNROCK ST, CARSON, CA",1800 E FERNROCK ST,CARSON,,923-01308-1616,1616,1308,NO,CA0190016,CARSON,-118.2360234,33.85128795,1,8092,-13161973.91,4008851.067
20132839,1/19/2023 9:50:00 PM,1/19/2023 12:00:00 AM,NON-AGGRAVATED ASSAULTS,145,"ASSAULT, NON-AGG: Obstruct/Resist/Battery Peace Officer","11900 162ND ST, NORWALK, CA 90650",11900 162ND ST,NORWALK,90650,023-00791-0458,458,791,NO,CA0190004,NORWALK,-118.077871,33.88421343,2,8093,-13144368.48,4013265.294
20125072,1/10/2023 12:55:00 PM,1/11/2023 12:00:00 AM,LARCENY THEFT,387,"THEFT, PETTY: From Bldgs (Church, School, Restaurant)","5800 S MAIN ST, LOS ANGELES, CA 90003",5800 S MAIN ST,LOS ANGELES,90003,923-00049-8543,8543,49,NO,CA01900F4,COUNTY SERVICES BUR,-118.2728346,33.98800484,1,8094,-13166071.72,4027191.483
20140169,1/26/2023 11:59:30 PM,1/29/2023 12:00:00 AM,FRAUD AND NSF CHECKS,112,FRAUD: Fraud By False Pretenses,"1600 120TH ST, LOS ANGELES, CA 90059",1600 120TH ST,LOS ANGELES,90059,923-01408-2133,2133,1408,NO,CA01900V3,CENTURY,-118.2440562,33.92400487,2,8095,-13162868.12,4018602.296
20149785,2/8/2023 9:10:02 PM,2/8/2023 12:00:00 AM,FRAUD AND NSF CHECKS,112,FRAUD: Fraud By False Pretenses,"21300 S AVALON BLVD, CARSON, CA 90745",21300 S AVALON BLVD,CARSON,90745,923-01310-1618,1618,1310,NO,CA0190016,CARSON,-118.2636651,33.83500606,2,8096,-13165050.98,4006668.829
20148060,2/7/2023 9:30:00 AM,2/7/2023 12:00:00 AM,LARCENY THEFT,389,"THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","17000 E AVENUE O, PALMDALE, CA 93591",17000 E AVENUE O,PALMDALE,93591,923-02229-1197,1197,2229,NO,CA0190024,LANCASTER,-117.8251882,34.61599494,1,8097,-13116239.95,4111818.069
20124830,1/10/2023 10:35:00 PM,1/10/2023 12:00:00 AM,AGGRAVATED ASSAULT,50,"ASSAULT, AGGRAVATED: DOMESTIC VIOLENCE","5600 WOODRUFF AVE, LAKEWOOD, CA 90713",5600 WOODRUFF AVE,LAKEWOOD,90713,023-00660-1322,1322,660,NO,CA0190013,LAKEWOOD,-118.1170829,33.85900415,1,8098,-13148733.52,4009885.404
